,stock_code,date_in,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,version,updated,created,min_price,max_price,var_price,var_price_3d,ma30,ma60,vma30,vma60,mid_price,open_dev_ma5,open_dev_ma10,close_dev_ma5,close_dev_ma10,diff,dea,macd,boll_low,boll_up,boll_relative,dividend_ind,rel_1y,rel_6m,rel_3m,rel_1m,rel_2w,rel_5d,ema5,ema10,ema20,ema30,ema60,ma_range,ema60_pos,v_diff0,v_diff1,v_diff2,v_diff3,v_diff4,v_diff5,rsi,rel_1m_v,rel_2w_v,rel_5d_v,rel_8w_var,rel_4w_var,rel_2w_var,decision,day_in
0,600198,1970-01-01 00:00:00,2018-01-02 00:00:00,11.3,11.37,11.31,11.19,69716.05,0.05,0.44,11.222,11.404,11.851,77430.85,97850.82,136097.22,0.8,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
1,600198,1970-01-01 00:00:00,2018-01-03 00:00:00,11.34,11.82,11.65,11.2,167023.91,0.34,3.01,11.314,11.393,11.818,94234.08,105274.0,129302.38,1.92,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
2,600198,1970-01-01 00:00:00,2018-01-04 00:00:00,11.57,11.64,11.59,11.4,88269.89,-0.06,-0.52,11.384,11.372,11.763,96808.08,98534.0,124978.79,1.01,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
3,600198,1970-01-01 00:00:00,2018-01-05 00:00:00,11.59,11.67,11.61,11.51,75214.78,0.02,0.17,11.484,11.363,11.719,95933.24,93630.18,122792.53,0.86,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
4,600198,1970-01-01 00:00:00,2018-01-08 00:00:00,11.64,11.65,11.42,11.35,91737.71,-0.2,-1.72,11.516,11.355,11.659,98392.47,92871.41,119606.3,1.05,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
5,600198,1970-01-01 00:00:00,2018-01-09 00:00:00,11.38,11.56,11.46,11.36,88084.77,0.03,0.26,11.546,11.384,11.595,102066.21,89748.53,116065.11,1.01,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
6,600198,1970-01-01 00:00:00,2018-01-10 00:00:00,11.45,11.46,11.11,11.03,136767.28,-0.34,-2.97,11.438,11.376,11.542,96014.89,95124.48,110402.23,1.57,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
7,600198,1970-01-01 00:00:00,2018-01-11 00:00:00,11.11,11.45,11.22,10.93,132739.31,0.11,0.99,11.364,11.374,11.492,104908.77,100858.43,111890.69,1.53,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
8,600198,1970-01-01 00:00:00,2018-01-12 00:00:00,11.2,11.2,11.07,11.05,80904.82,-0.16,-1.43,11.256,11.37,11.445,106046.78,100990.01,106384.39,0.93,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
9,600198,1970-01-01 00:00:00,2018-01-15 00:00:00,11.03,11.03,10.33,10.19,228360.38,-0.73,-6.6,11.038,11.277,11.357,133371.31,115881.89,111609.27,2.62,0,2018-05-17 17:41:23,1970-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000-01-01
